_time_jst,thousandeyes#cisco:thousandeyes:metric#response_time_ms
2026-04-14T21:44:00+09:00,142.56
2026-04-14T21:45:00+09:00,142.27
2026-04-14T21:46:00+09:00,142.72
2026-04-14T21:47:00+09:00,129.03
2026-04-14T21:48:00+09:00,141.83
2026-04-14T21:49:00+09:00,145.16
2026-04-14T21:50:00+09:00,150.57
2026-04-14T21:51:00+09:00,145.11
2026-04-14T21:52:00+09:00,146.46
2026-04-14T21:53:00+09:00,157.11
2026-04-14T21:54:00+09:00,149.32
2026-04-14T21:55:00+09:00,129.46
2026-04-14T21:56:00+09:00,152.73
2026-04-14T21:57:00+09:00,141.59
2026-04-14T21:58:00+09:00,151.82
2026-04-14T21:59:00+09:00,132.87
2026-04-14T22:00:00+09:00,117.8
2026-04-14T22:01:00+09:00,137.93
2026-04-14T22:02:00+09:00,150.64
2026-04-14T22:03:00+09:00,131.81
2026-04-14T22:04:00+09:00,143.14
2026-04-14T22:05:00+09:00,141.06
2026-04-14T22:06:00+09:00,150.38
2026-04-14T22:07:00+09:00,147.5
2026-04-14T22:08:00+09:00,137.73
2026-04-14T22:09:00+09:00,136.83
2026-04-14T22:10:00+09:00,141.5
2026-04-14T22:11:00+09:00,167.36
2026-04-14T22:12:00+09:00,151.68
2026-04-14T22:13:00+09:00,158.22
2026-04-14T22:14:00+09:00,158.26
2026-04-14T22:15:00+09:00,143.06
2026-04-14T22:16:00+09:00,153.53
2026-04-14T22:17:00+09:00,129.56
2026-04-14T22:18:00+09:00,140.84
2026-04-14T22:19:00+09:00,151.24
2026-04-14T22:20:00+09:00,150.2
2026-04-14T22:21:00+09:00,137.91
2026-04-14T22:22:00+09:00,153.52
2026-04-14T22:23:00+09:00,138.33
2026-04-14T22:24:00+09:00,136.77
2026-04-14T22:25:00+09:00,141.06
2026-04-14T22:26:00+09:00,138.32
2026-04-14T22:27:00+09:00,148.16
2026-04-14T22:28:00+09:00,146.61
2026-04-14T22:29:00+09:00,145.68
2026-04-14T22:30:00+09:00,146.74
2026-04-14T22:31:00+09:00,133.89
2026-04-14T22:32:00+09:00,156.27
2026-04-14T22:33:00+09:00,143.7
2026-04-14T22:34:00+09:00,159.93
2026-04-14T22:35:00+09:00,145.15
2026-04-14T22:36:00+09:00,142.49
2026-04-14T22:37:00+09:00,158.23
2026-04-14T22:38:00+09:00,120.24
2026-04-14T22:39:00+09:00,151.11
2026-04-14T22:40:00+09:00,137.73
2026-04-14T22:41:00+09:00,143.98
2026-04-14T22:42:00+09:00,139.72
2026-04-14T22:43:00+09:00,157.62
2026-04-14T22:44:00+09:00,144.98
2026-04-14T22:45:00+09:00,131.59
2026-04-14T22:46:00+09:00,152.85
2026-04-14T22:47:00+09:00,144.03
2026-04-14T22:48:00+09:00,157.66
2026-04-14T22:49:00+09:00,130.97
2026-04-14T22:50:00+09:00,161.46
2026-04-14T22:51:00+09:00,127.19
2026-04-14T22:52:00+09:00,159.34
2026-04-14T22:53:00+09:00,151.12
2026-04-14T22:54:00+09:00,131.52
2026-04-14T22:55:00+09:00,145.95
2026-04-14T22:56:00+09:00,137.89
2026-04-14T22:57:00+09:00,147.2
2026-04-14T22:58:00+09:00,146.61
2026-04-14T22:59:00+09:00,152.24
2026-04-14T23:00:00+09:00,124.83
2026-04-14T23:01:00+09:00,140.58
2026-04-14T23:02:00+09:00,129.0
2026-04-14T23:03:00+09:00,147.33
2026-04-14T23:04:00+09:00,148.74
2026-04-14T23:05:00+09:00,142.09
2026-04-14T23:06:00+09:00,138.44
2026-04-14T23:07:00+09:00,133.04
2026-04-14T23:08:00+09:00,137.19
2026-04-14T23:09:00+09:00,141.19
2026-04-14T23:10:00+09:00,118.73
2026-04-14T23:11:00+09:00,138.99
2026-04-14T23:12:00+09:00,144.71
2026-04-14T23:13:00+09:00,142.08
2026-04-14T23:14:00+09:00,134.04
2026-04-14T23:15:00+09:00,121.17
2026-04-14T23:16:00+09:00,128.55
2026-04-14T23:17:00+09:00,141.23
2026-04-14T23:18:00+09:00,140.0
2026-04-14T23:19:00+09:00,146.15
2026-04-14T23:20:00+09:00,136.03
2026-04-14T23:21:00+09:00,158.66
2026-04-14T23:22:00+09:00,132.94
2026-04-14T23:23:00+09:00,135.0
2026-04-14T23:24:00+09:00,158.41
2026-04-14T23:25:00+09:00,131.58
