field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"CSVexport Version",35208,1,1,"1.0",1,"1.0",35208,0,"[{""value"":""1.0"",""count"":35208}]"
"Destination Ip",35208,1,1,,,,0,,"[{""value"":""192.168.201.1"",""count"":35208}]"
"Destination Port",35208,1,1,863,863,863,35208,0,"[{""value"":""863"",""count"":35208}]"
Interface,35208,4,1,,,,0,,"[{""value"":""L3-R2-VCE1001"",""count"":8802},{""value"":""L3-R2-VCE1002"",""count"":8802},{""value"":""L3-R2-VCE1003"",""count"":8802},{""value"":""L3-R2-VCE1004"",""count"":8802}]"
Interval,35208,1,1,10,10,10,35208,0,"[{""value"":""10"",""count"":35208}]"
Model,35208,1,1,,,,0,,"[{""value"":""VCX-VNID"",""count"":35208}]"
"Packet Rate",35208,1,1,400000,400000,400000,35208,0,"[{""value"":""400000"",""count"":35208}]"
"Packet Size",35208,1,1,500,500,500,35208,0,"[{""value"":""500"",""count"":35208}]"
Serial,35208,1,1,,,,0,,"[{""value"":""4F8C4D56-7068-1B52-49E3-D52B7B082FB2"",""count"":35208}]"
"Session Id",35208,4,1,21,"18.75",16,35208,"1.9203137081461998","[{""value"":""16"",""count"":8802},{""value"":""18"",""count"":8802},{""value"":""20"",""count"":8802},{""value"":""21"",""count"":8802}]"
"Session Name",35208,4,1,,,,0,,"[{""value"":""R2-R9_TWAMP_Slice1001_ipv4_SF"",""count"":8802},{""value"":""R2-R9_TWAMP_Slice1002_ipv4_SF"",""count"":8802},{""value"":""R2-R9_TWAMP_Slice1003_ipv4_SF"",""count"":8802},{""value"":""R2-R9_TWAMP_Slice1004_ipv4_SF"",""count"":8802}]"
"Session Type",35208,1,1,,,,0,,"[{""value"":""TWAMP"",""count"":35208}]"
"Source Ip",35208,1,1,,,,0,,"[{""value"":""192.168.101.1"",""count"":35208}]"
"Source NE",35208,1,1,,,,0,,"[{""value"":""pca-sc-ai-showcase"",""count"":35208}]"
"Source Port",35208,4,1,4004,"4002.5",4001,35208,"1.1180498666442036","[{""value"":""4001"",""count"":8802},{""value"":""4002"",""count"":8802},{""value"":""4003"",""count"":8802},{""value"":""4004"",""count"":8802}]"
"System Id",35208,1,1,3160127625669266434,3160127625669413400,3160127625669266434,35208,0,"[{""value"":""3160127625669266434"",""count"":35208}]"
Type,35208,1,1,,,,0,,"[{""value"":""Supervision"",""count"":35208}]"
"date_hour",35208,24,1,23,"11.38036809815951",0,35208,"6.913712318693991","[{""value"":""5"",""count"":2088},{""value"":""0"",""count"":1440},{""value"":""1"",""count"":1440},{""value"":""10"",""count"":1440},{""value"":""11"",""count"":1440},{""value"":""12"",""count"":1440},{""value"":""13"",""count"":1440},{""value"":""14"",""count"":1440},{""value"":""15"",""count"":1440},{""value"":""16"",""count"":1440},{""value"":""17"",""count"":1440},{""value"":""18"",""count"":1440},{""value"":""19"",""count"":1440},{""value"":""2"",""count"":1440},{""value"":""20"",""count"":1440},{""value"":""21"",""count"":1440},{""value"":""22"",""count"":1440},{""value"":""23"",""count"":1440},{""value"":""3"",""count"":1440},{""value"":""4"",""count"":1440},{""value"":""6"",""count"":1440},{""value"":""7"",""count"":1440},{""value"":""8"",""count"":1440},{""value"":""9"",""count"":1440}]"
"date_mday",35208,2,1,4,"3.2229038854805725",3,35208,"0.41620026825850076","[{""value"":""3"",""count"":27360},{""value"":""4"",""count"":7848}]"
"date_minute",35208,60,1,59,"29.196319018404907",0,35208,"17.333214929401134","[{""value"":""0"",""count"":600},{""value"":""1"",""count"":600},{""value"":""10"",""count"":600},{""value"":""11"",""count"":600},{""value"":""12"",""count"":600},{""value"":""13"",""count"":600},{""value"":""14"",""count"":600},{""value"":""15"",""count"":600},{""value"":""16"",""count"":600},{""value"":""17"",""count"":600},{""value"":""18"",""count"":600},{""value"":""19"",""count"":600},{""value"":""2"",""count"":600},{""value"":""20"",""count"":600},{""value"":""21"",""count"":600},{""value"":""22"",""count"":600},{""value"":""23"",""count"":600},{""value"":""24"",""count"":600},{""value"":""25"",""count"":600},{""value"":""26"",""count"":600},{""value"":""3"",""count"":600},{""value"":""4"",""count"":600},{""value"":""5"",""count"":600},{""value"":""6"",""count"":600},{""value"":""7"",""count"":600},{""value"":""8"",""count"":600},{""value"":""9"",""count"":600},{""value"":""27"",""count"":576},{""value"":""28"",""count"":576},{""value"":""29"",""count"":576},{""value"":""30"",""count"":576},{""value"":""31"",""count"":576},{""value"":""32"",""count"":576},{""value"":""33"",""count"":576},{""value"":""34"",""count"":576},{""value"":""35"",""count"":576},{""value"":""36"",""count"":576},{""value"":""37"",""count"":576},{""value"":""38"",""count"":576},{""value"":""39"",""count"":576},{""value"":""40"",""count"":576},{""value"":""41"",""count"":576},{""value"":""42"",""count"":576},{""value"":""43"",""count"":576},{""value"":""44"",""count"":576},{""value"":""45"",""count"":576},{""value"":""46"",""count"":576},{""value"":""47"",""count"":576},{""value"":""48"",""count"":576},{""value"":""49"",""count"":576},{""value"":""50"",""count"":576},{""value"":""51"",""count"":576},{""value"":""52"",""count"":576},{""value"":""53"",""count"":576},{""value"":""54"",""count"":576},{""value"":""55"",""count"":576},{""value"":""56"",""count"":576},{""value"":""57"",""count"":576},{""value"":""58"",""count"":576},{""value"":""59"",""count"":576}]"
"date_month",35208,1,1,,,,0,,"[{""value"":""may"",""count"":35208}]"
"date_second",35208,12,1,58,"32.26519541013406",7,35208,"17.08428950007001","[{""value"":""27"",""count"":4326},{""value"":""47"",""count"":4323},{""value"":""7"",""count"":4320},{""value"":""37"",""count"":4309},{""value"":""57"",""count"":4302},{""value"":""17"",""count"":4291},{""value"":""18"",""count"":1577},{""value"":""58"",""count"":1566},{""value"":""38"",""count"":1559},{""value"":""8"",""count"":1548},{""value"":""48"",""count"":1545},{""value"":""28"",""count"":1542}]"
"date_wday",35208,2,1,,,,0,,"[{""value"":""sunday"",""count"":27360},{""value"":""monday"",""count"":7848}]"
"date_year",35208,1,1,2026,2026,2026,35208,0,"[{""value"":""2026"",""count"":35208}]"
"date_zone",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_cksum",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_dStdDev",35208,1,1,0,0,0,35208,0,"[{""value"":""0"",""count"":35208}]"
"dl_dmax",35208,5,1,28,"25.218927516473528",24,35208,"0.4556168893708122","[{""value"":""25"",""count"":26304},{""value"":""26"",""count"":8262},{""value"":""24"",""count"":613},{""value"":""27"",""count"":28},{""value"":""28"",""count"":1}]"
