field,count,"distinct_count","is_exact",max,mean,min,"numeric_count",stdev,values
"CSVexport Version",40340,1,1,"1.0",1,"1.0",40340,0,"[{""value"":""1.0"",""count"":40340}]"
"Destination Ip",40340,1,1,,,,0,,"[{""value"":""192.168.201.1"",""count"":40340}]"
"Destination Port",40340,1,1,863,863,863,40340,0,"[{""value"":""863"",""count"":40340}]"
Interface,40340,4,1,,,,0,,"[{""value"":""L3-R2-VCE1001"",""count"":10085},{""value"":""L3-R2-VCE1002"",""count"":10085},{""value"":""L3-R2-VCE1003"",""count"":10085},{""value"":""L3-R2-VCE1004"",""count"":10085}]"
Interval,40340,1,1,60,60,60,40340,0,"[{""value"":""60"",""count"":40340}]"
Model,40340,1,1,,,,0,,"[{""value"":""VCX-VNID"",""count"":40340}]"
"Packet Rate",40340,1,1,400000,400000,400000,40340,0,"[{""value"":""400000"",""count"":40340}]"
"Packet Size",40340,1,1,500,500,500,40340,0,"[{""value"":""500"",""count"":40340}]"
Serial,40340,1,1,,,,0,,"[{""value"":""4F8C4D56-7068-1B52-49E3-D52B7B082FB2"",""count"":40340}]"
"Session Id",40340,4,1,21,"18.75",16,40340,"1.9203102386793436","[{""value"":""16"",""count"":10085},{""value"":""18"",""count"":10085},{""value"":""20"",""count"":10085},{""value"":""21"",""count"":10085}]"
"Session Name",40340,4,1,,,,0,,"[{""value"":""R2-R9_TWAMP_Slice1001_ipv4_SF"",""count"":10085},{""value"":""R2-R9_TWAMP_Slice1002_ipv4_SF"",""count"":10085},{""value"":""R2-R9_TWAMP_Slice1003_ipv4_SF"",""count"":10085},{""value"":""R2-R9_TWAMP_Slice1004_ipv4_SF"",""count"":10085}]"
"Session Type",40340,1,1,,,,0,,"[{""value"":""TWAMP"",""count"":40340}]"
"Source Ip",40340,1,1,,,,0,,"[{""value"":""192.168.101.1"",""count"":40340}]"
"Source NE",40340,1,1,,,,0,,"[{""value"":""pca-sc-ai-showcase"",""count"":40340}]"
"Source Port",40340,4,1,4004,"4002.5",4001,40340,"1.1180478466425032","[{""value"":""4001"",""count"":10085},{""value"":""4002"",""count"":10085},{""value"":""4003"",""count"":10085},{""value"":""4004"",""count"":10085}]"
"System Id",40340,1,1,3160127625669266434,3160127625669386000,3160127625669266434,40340,0,"[{""value"":""3160127625669266434"",""count"":40340}]"
Type,40340,1,1,,,,0,,"[{""value"":""Supervision"",""count"":40340}]"
"date_hour",40340,24,1,23,"11.502231036192365",0,40340,"6.921281128345424","[{""value"":""16"",""count"":1700},{""value"":""0"",""count"":1680},{""value"":""1"",""count"":1680},{""value"":""10"",""count"":1680},{""value"":""11"",""count"":1680},{""value"":""12"",""count"":1680},{""value"":""13"",""count"":1680},{""value"":""14"",""count"":1680},{""value"":""15"",""count"":1680},{""value"":""17"",""count"":1680},{""value"":""18"",""count"":1680},{""value"":""19"",""count"":1680},{""value"":""2"",""count"":1680},{""value"":""20"",""count"":1680},{""value"":""21"",""count"":1680},{""value"":""22"",""count"":1680},{""value"":""23"",""count"":1680},{""value"":""3"",""count"":1680},{""value"":""4"",""count"":1680},{""value"":""5"",""count"":1680},{""value"":""6"",""count"":1680},{""value"":""7"",""count"":1680},{""value"":""8"",""count"":1680},{""value"":""9"",""count"":1680}]"
