hod,"avg(rt_dStdDev)","avg(rt_dmax)","avg(rt_dmean)","avg(rt_dmin)","avg(rt_dp25)","avg(rt_dp50)","avg(rt_dp75)","avg(rt_dp95)","avg(rt_dpHi)","avg(rt_dpLo)","avg(rt_dpMi)","avg(rt_dvmax)","avg(rt_dvmean)","avg(rt_dvp25)","avg(rt_dvp50)","avg(rt_dvp75)","avg(rt_dvp95)","avg(rt_dvpHi)","avg(rt_dvpLo)","avg(rt_dvpMi)","avg(rt_firstpktSeq)","avg(rt_jStdDev)","avg(rt_jmax)","avg(rt_jmean)","avg(rt_jmin)","avg(rt_jp25)","avg(rt_jp50)","avg(rt_jp75)","avg(rt_jp95)","avg(rt_jpHi)","avg(rt_jpLo)","avg(rt_jpMi)","avg(rt_lastpktSeq)","avg(rt_rxbytes)","avg(rt_rxpkts)","avg(rt_statStatus)","min(rt_dStdDev)","min(rt_dmax)","min(rt_dmean)","min(rt_dmin)","min(rt_dp25)","min(rt_dp50)","min(rt_dp75)","min(rt_dp95)","min(rt_dpHi)","min(rt_dpLo)","min(rt_dpMi)","min(rt_dvmax)","min(rt_dvmean)","min(rt_dvp25)","min(rt_dvp50)","min(rt_dvp75)","min(rt_dvp95)","min(rt_dvpHi)","min(rt_dvpLo)","min(rt_dvpMi)","min(rt_firstpktSeq)","min(rt_jStdDev)","min(rt_jmax)","min(rt_jmean)","min(rt_jmin)","min(rt_jp25)","min(rt_jp50)","min(rt_jp75)","min(rt_jp95)","min(rt_jpHi)","min(rt_jpLo)","min(rt_jpMi)","min(rt_lastpktSeq)","min(rt_rxbytes)","min(rt_rxpkts)","min(rt_statStatus)","max(rt_dStdDev)","max(rt_dmax)","max(rt_dmean)","max(rt_dmin)","max(rt_dp25)","max(rt_dp50)","max(rt_dp75)","max(rt_dp95)","max(rt_dpHi)","max(rt_dpLo)","max(rt_dpMi)","max(rt_dvmax)","max(rt_dvmean)","max(rt_dvp25)","max(rt_dvp50)","max(rt_dvp75)","max(rt_dvp95)","max(rt_dvpHi)","max(rt_dvpLo)","max(rt_dvpMi)","max(rt_firstpktSeq)","max(rt_jStdDev)","max(rt_jmax)","max(rt_jmean)","max(rt_jmin)","max(rt_jp25)","max(rt_jp50)","max(rt_jp75)","max(rt_jp95)","max(rt_jpHi)","max(rt_jpLo)","max(rt_jpMi)","max(rt_lastpktSeq)","max(rt_rxbytes)","max(rt_rxpkts)","max(rt_statStatus)"
"0.00","2.16","60.79","50.92","45.04","49.01","50.95","52.93","55.92","57.96","56.13","57.19","15.75","5.89","3.97","5.91","7.89","10.88","12.92","11.09","12.15","627504368.00","2.00","12.09","2.35","0.00","1.00","2.46","4.16","7.21","9.29","7.65","8.53","627505304.37","511805.45","937.37","1536.00","2.00","56.00","50.00","45.00","49.00","50.00","52.00","54.00","55.00","55.00","55.00","11.00","4.00","3.00","4.00","6.00","9.00","10.00","9.00","9.00","603103133.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","6.00","7.00","603104042.00","466830.00","855.00","1536.00","3.00","65.00","51.00","46.00","50.00","51.00","53.00","57.00","59.00","57.00","58.00","20.00","6.00","5.00","6.00","8.00","12.00","14.00","12.00","13.00","651920033.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","9.00","10.00","651920976.00","545454.00","999.00","1536.00"
"1.00","2.16","60.93","50.98","45.04","49.01","50.99","52.98","55.98","58.05","56.21","57.27","15.89","5.94","3.96","5.94","7.94","10.93","13.01","11.16","12.22","627841988.12","2.00","12.13","2.37","0.00","1.00","2.50","4.18","7.21","9.31","7.67","8.55","627842925.56","512386.77","938.44","1536.00","2.00","57.00","50.00","45.00","49.00","50.00","52.00","54.00","56.00","55.00","55.00","11.00","4.00","3.00","4.00","6.00","9.00","10.00","9.00","10.00","603438170.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","603439038.00","466284.00","854.00","1536.00","3.00","64.00","51.00","46.00","50.00","51.00","53.00","57.00","60.00","57.00","58.00","19.00","6.00","5.00","6.00","8.00","12.00","15.00","12.00","13.00","652259478.00","2.00","16.00","3.00","0.00","2.00","3.00","5.00","8.00","12.00","9.00","10.00","652260462.00","540540.00","990.00","1536.00"
"2.00","2.16","60.99","51.00","45.04","49.00","51.00","53.00","56.00","58.08","56.23","57.30","15.94","5.96","3.96","5.96","7.96","10.95","13.03","11.18","12.25","628179094.30","2.00","12.15","2.39","0.00","1.00","2.51","4.20","7.23","9.32","7.70","8.57","628180029.21","511008.55","935.91","1536.00","2.00","58.00","50.00","45.00","49.00","50.00","52.00","55.00","57.00","55.00","56.00","13.00","5.00","3.00","5.00","7.00","9.00","11.00","10.00","10.00","603773424.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","603774345.00","471198.00","863.00","1536.00","3.00","64.00","51.00","46.00","50.00","51.00","53.00","57.00","60.00","57.00","58.00","19.00","6.00","5.00","6.00","8.00","12.00","15.00","12.00","13.00","652595719.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","9.00","10.00","652596672.00","540540.00","990.00","1536.00"
"3.00","2.16","60.93","51.00","45.04","49.01","51.00","53.00","56.00","58.09","56.22","57.29","15.89","5.96","3.97","5.96","7.96","10.96","13.06","11.18","12.25","628516193.20","2.00","12.13","2.40","0.00","1.00","2.50","4.20","7.23","9.32","7.69","8.58","628517127.52","510683.55","935.32","1536.00","2.00","58.00","50.00","45.00","49.00","50.00","52.00","55.00","57.00","55.00","56.00","13.00","5.00","3.00","5.00","7.00","9.00","11.00","10.00","11.00","604113592.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","7.00","8.00","7.00","8.00","604114515.00","457548.00","838.00","1536.00","3.00","64.00","51.00","46.00","50.00","51.00","53.00","57.00","60.00","57.00","58.00","19.00","6.00","5.00","6.00","8.00","12.00","15.00","12.00","13.00","652932056.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","12.00","9.00","10.00","652933037.00","540540.00","990.00","1536.00"
"4.00","2.15","60.95","51.00","45.03","49.01","51.00","53.00","56.00","58.09","56.21","57.30","15.92","5.96","3.97","5.97","7.97","10.96","13.05","11.18","12.26","628853653.79","2.00","12.12","2.39","0.00","1.00","2.50","4.18","7.23","9.33","7.70","8.56","628854592.06","512843.50","939.27","1536.00","2.00","58.00","50.00","45.00","49.00","50.00","52.00","55.00","57.00","56.00","56.00","13.00","5.00","3.00","5.00","7.00","10.00","11.00","10.00","11.00","604448792.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","7.00","8.00","7.00","8.00","604449703.00","463554.00","849.00","1536.00","3.00","64.00","51.00","46.00","50.00","51.00","53.00","57.00","59.00","57.00","58.00","19.00","6.00","5.00","6.00","8.00","12.00","14.00","12.00","13.00","653270775.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","9.00","10.00","653271688.00","540540.00","990.00","1536.00"
"5.00","2.17","60.91","51.00","45.04","49.00","51.00","53.00","56.00","58.10","56.22","57.30","15.87","5.96","3.97","5.96","7.96","10.96","13.06","11.18","12.26","629190233.38","2.00","12.13","2.37","0.00","1.00","2.49","4.18","7.23","9.32","7.69","8.56","629191164.54","508959.32","932.16","1536.00","2.00","58.00","50.00","45.00","49.00","51.00","53.00","55.00","57.00","56.00","56.00","13.00","5.00","3.00","5.00","7.00","10.00","11.00","10.00","11.00","604787079.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","7.00","8.00","7.00","7.00","604788021.00","466284.00","854.00","1536.00","3.00","65.00","51.00","46.00","50.00","51.00","53.00","57.00","60.00","57.00","58.00","20.00","6.00","5.00","6.00","8.00","12.00","15.00","12.00","13.00","653605541.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","12.00","9.00","10.00","653606500.00","538356.00","986.00","1536.00"
"6.00","2.16","60.97","51.00","45.04","49.00","51.00","53.00","56.00","58.08","56.23","57.30","15.94","5.96","3.97","5.96","7.96","10.96","13.05","11.19","12.27","629527043.17","2.00","12.13","2.38","0.00","1.00","2.50","4.17","7.22","9.31","7.69","8.55","629527979.25","511643.38","937.08","1536.00","2.00","58.00","50.00","45.00","49.00","50.00","52.00","55.00","57.00","56.00","56.00","13.00","5.00","3.00","5.00","7.00","9.00","11.00","10.00","11.00","605121320.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","8.00","605122229.00","465192.00","852.00","1536.00","3.00","65.00","51.00","46.00","50.00","51.00","53.00","57.00","59.00","57.00","58.00","20.00","6.00","5.00","6.00","8.00","12.00","14.00","12.00","13.00","653945427.00","2.00","18.00","3.00","0.00","1.00","3.00","5.00","8.00","12.00","9.00","10.00","653946381.00","544908.00","998.00","1536.00"
"7.00","2.17","60.95","51.00","45.04","49.01","51.00","53.00","55.99","58.10","56.23","57.30","15.90","5.96","3.96","5.96","7.96","10.95","13.05","11.19","12.25","629863995.39","2.00","12.14","2.39","0.00","1.00","2.51","4.19","7.24","9.33","7.68","8.57","629864929.48","510557.23","935.09","1536.00","2.00","58.00","50.00","45.00","49.00","50.00","53.00","55.00","57.00","55.00","56.00","13.00","5.00","3.00","5.00","7.00","9.00","11.00","10.00","11.00","605459790.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","7.00","8.00","7.00","7.00","605460687.00","461916.00","846.00","1536.00","3.00","65.00","51.00","46.00","50.00","51.00","53.00","57.00","60.00","57.00","58.00","20.00","6.00","5.00","6.00","8.00","12.00","15.00","12.00","13.00","654279712.00","2.00","19.00","3.00","0.00","1.00","3.00","5.00","8.00","12.00","9.00","10.00","654280655.00","539994.00","989.00","1536.00"
"8.00","2.16","60.96","51.00","45.04","49.01","51.00","53.00","55.99","58.10","56.22","57.30","15.92","5.96","3.97","5.96","7.96","10.96","13.06","11.18","12.26","630200750.91","2.00","12.17","2.39","0.00","1.00","2.51","4.19","7.22","9.32","7.69","8.57","630201685.89","511048.42","935.99","1536.00","2.00","58.00","50.00","45.00","49.00","51.00","53.00","55.00","57.00","56.00","56.00","13.00","5.00","3.00","5.00","7.00","9.00","11.00","10.00","11.00","605793643.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","8.00","605794526.00","470652.00","862.00","1536.00","3.00","65.00","51.00","46.00","50.00","51.00","53.00","57.00","60.00","57.00","59.00","20.00","6.00","5.00","6.00","8.00","12.00","15.00","12.00","14.00","654615746.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","9.00","10.00","654616699.00","539994.00","989.00","1536.00"
"9.00","2.16","60.93","51.00","45.04","49.01","51.00","53.00","56.00","58.07","56.22","57.29","15.90","5.96","3.97","5.96","7.96","10.96","13.04","11.18","12.25","630537843.06","2.00","12.11","2.38","0.00","1.00","2.50","4.18","7.24","9.31","7.69","8.57","630538778.76","511438.42","936.70","1536.00","2.00","58.00","50.00","45.00","49.00","51.00","52.00","55.00","57.00","56.00","56.00","13.00","5.00","3.00","5.00","7.00","9.00","12.00","10.00","11.00","606130724.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","606131651.00","465192.00","852.00","1536.00","3.00","65.00","51.00","46.00","50.00","51.00","53.00","57.00","59.00","57.00","58.00","20.00","6.00","5.00","6.00","8.00","12.00","14.00","12.00","13.00","654954266.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","9.00","10.00","654955195.00","539994.00","989.00","1536.00"
