hod,"avg(ul_cksum)","avg(ul_dStdDev)","avg(ul_dmax)","avg(ul_dmean)","avg(ul_dmin)","avg(ul_dp25)","avg(ul_dp50)","avg(ul_dp75)","avg(ul_dp95)","avg(ul_dpHi)","avg(ul_dpLo)","avg(ul_dpMi)","avg(ul_duplicatepkts)","avg(ul_dvmax)","avg(ul_dvmean)","avg(ul_dvp25)","avg(ul_dvp50)","avg(ul_dvp75)","avg(ul_dvp95)","avg(ul_dvpHi)","avg(ul_dvpLo)","avg(ul_dvpMi)","avg(ul_firstpktSeq)","avg(ul_jStdDev)","avg(ul_jmax)","avg(ul_jmean)","avg(ul_jmin)","avg(ul_jp25)","avg(ul_jp50)","avg(ul_jp75)","avg(ul_jp95)","avg(ul_jpHi)","avg(ul_jpLo)","avg(ul_jpMi)","avg(ul_lastpktSeq)","avg(ul_lostburstmax)","avg(ul_lostburstmin)","avg(ul_lostperc)","avg(ul_lostperiods)","avg(ul_lostpkts)","avg(ul_misorderpkts)","avg(ul_mos)","avg(ul_r)","avg(ul_rxbytes)","avg(ul_rxpkts)","avg(ul_statStatus)","avg(ul_toolatepkts)","avg(ul_tosmax)","avg(ul_tosmin)","avg(ul_ttlmax)","avg(ul_ttlmin)","avg(ul_vpriomax)","avg(ul_vpriomin)","min(ul_cksum)","min(ul_dStdDev)","min(ul_dmax)","min(ul_dmean)","min(ul_dmin)","min(ul_dp25)","min(ul_dp50)","min(ul_dp75)","min(ul_dp95)","min(ul_dpHi)","min(ul_dpLo)","min(ul_dpMi)","min(ul_duplicatepkts)","min(ul_dvmax)","min(ul_dvmean)","min(ul_dvp25)","min(ul_dvp50)","min(ul_dvp75)","min(ul_dvp95)","min(ul_dvpHi)","min(ul_dvpLo)","min(ul_dvpMi)","min(ul_firstpktSeq)","min(ul_jStdDev)","min(ul_jmax)","min(ul_jmean)","min(ul_jmin)","min(ul_jp25)","min(ul_jp50)","min(ul_jp75)","min(ul_jp95)","min(ul_jpHi)","min(ul_jpLo)","min(ul_jpMi)","min(ul_lastpktSeq)","min(ul_lostburstmax)","min(ul_lostburstmin)","min(ul_lostperc)","min(ul_lostperiods)","min(ul_lostpkts)","min(ul_misorderpkts)","min(ul_mos)","min(ul_r)","min(ul_rxbytes)","min(ul_rxpkts)","min(ul_statStatus)","min(ul_toolatepkts)","min(ul_tosmax)","min(ul_tosmin)","min(ul_ttlmax)","min(ul_ttlmin)","min(ul_vpriomax)","min(ul_vpriomin)","max(ul_cksum)","max(ul_dStdDev)","max(ul_dmax)","max(ul_dmean)","max(ul_dmin)","max(ul_dp25)","max(ul_dp50)","max(ul_dp75)","max(ul_dp95)","max(ul_dpHi)","max(ul_dpLo)","max(ul_dpMi)","max(ul_duplicatepkts)","max(ul_dvmax)","max(ul_dvmean)","max(ul_dvp25)","max(ul_dvp50)","max(ul_dvp75)","max(ul_dvp95)","max(ul_dvpHi)","max(ul_dvpLo)","max(ul_dvpMi)","max(ul_firstpktSeq)","max(ul_jStdDev)","max(ul_jmax)","max(ul_jmean)","max(ul_jmin)","max(ul_jp25)","max(ul_jp50)","max(ul_jp75)","max(ul_jp95)","max(ul_jpHi)","max(ul_jpLo)","max(ul_jpMi)","max(ul_lastpktSeq)","max(ul_lostburstmax)","max(ul_lostburstmin)","max(ul_lostperc)","max(ul_lostperiods)","max(ul_lostpkts)","max(ul_misorderpkts)","max(ul_mos)","max(ul_r)","max(ul_rxbytes)","max(ul_rxpkts)","max(ul_statStatus)","max(ul_toolatepkts)","max(ul_tosmax)","max(ul_tosmin)","max(ul_ttlmax)","max(ul_ttlmin)","max(ul_vpriomax)","max(ul_vpriomin)"
"0.00","0.00","2.01","37.15","27.24","22.09","25.95","27.25","29.48","32.24","34.43","32.68","33.77","0.00","15.06","5.14","3.86","5.16","7.39","10.15","12.34","10.59","11.68","627504368.00","2.00","11.62","2.08","0.00","1.00","2.27","4.03","6.99","8.97","7.27","8.19","627505304.37","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511805.45","937.37","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","32.00","26.00","21.00","25.00","26.00","28.00","31.00","32.00","31.00","31.00","0.00","10.00","4.00","3.00","4.00","6.00","9.00","10.00","9.00","9.00","603103133.00","2.00","9.00","2.00","0.00","1.00","2.00","3.00","6.00","7.00","6.00","7.00","603104042.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","466830.00","855.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","42.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","20.00","6.00","4.00","6.00","8.00","11.00","14.00","12.00","13.00","651920033.00","2.00","18.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","9.00","651920976.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","545454.00","999.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"1.00","0.00","2.01","37.29","27.21","22.05","25.95","27.22","29.46","32.24","34.52","32.72","33.85","0.00","15.23","5.16","3.90","5.17","7.41","10.19","12.47","10.67","11.79","627841988.12","2.00","11.68","2.08","0.00","1.00","2.30","4.04","7.01","9.01","7.28","8.21","627842925.56","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","512386.77","938.44","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","32.00","26.00","21.00","25.00","26.00","28.00","30.00","31.00","31.00","31.00","0.00","10.00","4.00","3.00","4.00","6.00","9.00","9.00","9.00","9.00","603438170.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","6.00","7.00","603439038.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","466284.00","854.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","41.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","19.00","6.00","5.00","6.00","8.00","11.00","14.00","12.00","13.00","652259478.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","10.00","652260462.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"2.00","0.00","2.01","37.31","27.25","22.08","25.97","27.25","29.50","32.30","34.55","32.74","33.89","0.00","15.23","5.16","3.89","5.16","7.42","10.22","12.47","10.66","11.81","628179094.30","2.00","11.68","2.08","0.00","1.00","2.31","4.03","7.02","9.00","7.29","8.23","628180029.21","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511008.55","935.91","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","34.00","27.00","21.00","25.00","26.00","29.00","31.00","33.00","32.00","33.00","0.00","12.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","11.00","603773424.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","603774345.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","471198.00","863.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","41.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","19.00","6.00","5.00","6.00","8.00","11.00","14.00","12.00","13.00","652595719.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","10.00","652596672.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"3.00","0.00","2.01","37.25","27.21","22.06","26.00","27.22","29.47","32.26","34.55","32.76","33.91","0.00","15.18","5.15","3.94","5.16","7.41","10.20","12.49","10.70","11.85","628516193.20","2.00","11.65","2.09","0.00","1.00","2.30","4.03","7.03","9.01","7.31","8.22","628517127.52","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","510683.55","935.32","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","35.00","27.00","21.00","25.00","27.00","29.00","32.00","33.00","32.00","33.00","0.00","12.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","10.00","604113592.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","604114515.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","457548.00","838.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","41.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","19.00","6.00","5.00","6.00","8.00","11.00","14.00","12.00","13.00","652932056.00","2.00","18.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","10.00","652933037.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"4.00","0.00","2.01","37.28","27.25","22.08","25.98","27.25","29.50","32.28","34.56","32.76","33.89","0.00","15.20","5.17","3.90","5.17","7.42","10.20","12.48","10.69","11.81","628853653.79","2.00","11.65","2.07","0.00","1.00","2.31","4.03","7.03","9.01","7.29","8.22","628854592.06","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","512843.50","939.27","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","35.00","26.00","21.00","25.00","26.00","29.00","31.00","33.00","32.00","33.00","0.00","12.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","10.00","604448792.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","604449703.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","463554.00","849.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","41.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","18.00","6.00","4.00","6.00","8.00","11.00","14.00","12.00","13.00","653270775.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","9.00","653271688.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","540540.00","990.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"5.00","0.00","2.01","37.24","27.22","22.07","25.96","27.23","29.46","32.27","34.51","32.72","33.86","0.00","15.17","5.15","3.89","5.16","7.39","10.19","12.44","10.65","11.79","629190233.38","2.00","11.66","2.08","0.00","1.00","2.31","4.04","7.02","9.01","7.30","8.24","629191164.54","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","508959.32","932.16","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","35.00","26.00","21.00","25.00","26.00","29.00","31.00","33.00","32.00","33.00","0.00","12.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","11.00","604787079.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","604788021.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","466284.00","854.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","41.00","28.00","23.00","27.00","28.00","30.00","34.00","36.00","34.00","35.00","0.00","19.00","6.00","5.00","6.00","8.00","11.00","14.00","12.00","13.00","653605541.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","9.00","653606500.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","538356.00","986.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"6.00","0.00","2.01","37.30","27.24","22.08","25.97","27.24","29.46","32.27","34.52","32.73","33.88","0.00","15.23","5.16","3.90","5.17","7.38","10.20","12.45","10.65","11.80","629527043.17","2.00","11.65","2.07","0.00","1.00","2.28","4.03","7.02","8.99","7.29","8.21","629527979.25","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511643.38","937.08","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","34.00","26.00","21.00","25.00","26.00","29.00","31.00","33.00","32.00","33.00","0.00","12.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","10.00","605121320.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","6.00","7.00","605122229.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","465192.00","852.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","42.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","20.00","6.00","5.00","6.00","8.00","11.00","14.00","12.00","13.00","653945427.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","9.00","653946381.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","544908.00","998.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"7.00","0.00","2.01","37.30","27.22","22.08","26.00","27.23","29.44","32.26","34.55","32.76","33.89","0.00","15.22","5.14","3.93","5.15","7.37","10.19","12.47","10.69","11.82","629863995.39","2.00","11.69","2.08","0.00","1.00","2.30","4.03","7.03","8.99","7.29","8.23","629864929.48","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","510557.23","935.09","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","35.00","27.00","22.00","25.00","27.00","29.00","32.00","33.00","32.00","33.00","0.00","13.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","10.00","605459790.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","6.00","7.00","605460687.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","461916.00","846.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","41.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","19.00","6.00","4.00","6.00","8.00","11.00","14.00","12.00","13.00","654279712.00","2.00","18.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","9.00","654280655.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","539994.00","989.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"8.00","0.00","2.01","37.32","27.24","22.07","25.97","27.24","29.49","32.28","34.56","32.75","33.89","0.00","15.25","5.17","3.91","5.17","7.42","10.21","12.49","10.68","11.82","630200750.91","2.00","11.69","2.08","0.00","1.00","2.31","4.04","7.02","9.00","7.30","8.23","630201685.89","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511048.42","935.99","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","35.00","27.00","21.00","25.00","26.00","29.00","31.00","33.00","32.00","33.00","0.00","13.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","10.00","605793643.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","6.00","7.00","605794526.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","470652.00","862.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","42.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","19.00","6.00","4.00","6.00","8.00","11.00","14.00","12.00","13.00","654615746.00","2.00","18.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","9.00","654616699.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","539994.00","989.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
"9.00","0.00","2.01","37.28","27.21","22.05","25.96","27.22","29.47","32.25","34.53","32.72","33.87","0.00","15.23","5.16","3.91","5.17","7.42","10.21","12.48","10.67","11.82","630537843.06","2.00","11.64","2.07","0.00","1.00","2.30","4.03","7.02","9.00","7.29","8.21","630538778.76","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","511438.42","936.70","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","2.00","34.00","26.00","21.00","25.00","26.00","29.00","31.00","33.00","31.00","32.00","0.00","12.00","4.00","3.00","4.00","6.00","9.00","11.00","9.00","10.00","606130724.00","2.00","9.00","2.00","0.00","1.00","2.00","4.00","6.00","8.00","7.00","7.00","606131651.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","465192.00","852.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00","0.00","3.00","41.00","28.00","23.00","27.00","28.00","30.00","33.00","36.00","34.00","35.00","0.00","19.00","6.00","4.00","6.00","8.00","11.00","14.00","12.00","13.00","654954266.00","2.00","17.00","3.00","0.00","1.00","3.00","5.00","8.00","11.00","8.00","9.00","654955195.00","0.00","0.00","0.00","0.00","0.00","0.00","4409286.00","93200000.00","539994.00","989.00","1792.00","0.00","0.00","0.00","250.00","250.00","0.00","0.00"
